player,position,team
Cal Raleigh,C,Swank's Tanks
Vladimir Guerrero Jr.,1B,Swank's Tanks
Nolan Gorman,2B,Swank's Tanks
Junior Caminero,3B,Swank's Tanks
Gunnar Henderson,SS,Swank's Tanks
Wyatt Langford,LF,Swank's Tanks
Jackson Merrill,CF,Swank's Tanks
Corbin Carroll,RF,Swank's Tanks
Brent Rooker,DH,Swank's Tanks
Bryce Harper,UTIL,Swank's Tanks
Caleb Durbin,HBP,Swank's Tanks
Salvador Perez,C,Bo
Pete Alonso,1B,Bo
Brandon Lowe,2B,Bo
Manny Machado,3B,Bo
Francisco Lindor,SS,Bo
Taylor Ward,LF,Bo
Julio Rodríguez,CF,Bo
Ronald Acuña Jr.,RF,Bo
Shohei Ohtani,DH,Bo
Munetaka Murakami,UTIL,Bo
Ty France,HBP,Bo
Shea Langeliers,C,Kid Named Dinger
Michael Busch,1B,Kid Named Dinger
Jose Altuve,2B,Kid Named Dinger
Matt Chapman,3B,Kid Named Dinger
Willy Adames,SS,Kid Named Dinger
Kyle Stowers,LF,Kid Named Dinger
Jo Adell,CF,Kid Named Dinger
Aaron Judge,RF,Kid Named Dinger
Eugenio Suárez,DH,Kid Named Dinger
Yordan Alvarez,UTIL,Kid Named Dinger
Randy Arozarena,HBP,Kid Named Dinger
Hunter Goodman,C,Swank's Shanks
Vinnie Pasquantino,1B,Swank's Shanks
Jazz Chisholm Jr.,2B,Swank's Shanks
Carlos Correa,3B,Swank's Shanks
Bobby Witt Jr.,SS,Swank's Shanks
Riley Greene,LF,Swank's Shanks
Byron Buxton,CF,Swank's Shanks
Fernando Tatis Jr.,RF,Swank's Shanks
Kyle Schwarber,DH,Swank's Shanks
Seiya Suzuki,UTIL,Swank's Shanks
Willson Contreras,HBP,Swank's Shanks
Adley Rutschman,C,deep drivers
Nick Kurtz,1B,deep drivers
Ketel Marte,2B,deep drivers
José Ramírez,3B,deep drivers
Trevor Story,SS,deep drivers
James Wood,LF,deep drivers
Pete Crow-Armstrong,CF,deep drivers
Juan Soto,RF,deep drivers
George Springer,DH,deep drivers
Rafael Devers,UTIL,deep drivers
CJ Abrams,HBP,deep drivers
